,Unnamed: 0,pre,post,cel_jsh,cel_n2u,n930,witvliet_1,witvliet_2,witvliet_3,witvliet_4,witvliet_5,witvliet_6,witvliet_7,witvliet_8,conserved,average_size,Z,classification,significance,Z_abs,male_only,herm_only,both_sexes
12,10.0,ADA,RIC,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,11.0,2.363636363636364,0.585,stable,non-specific,0.585,0,0,1
13,11.0,ADA,RIM,36.0,38.0,20.0,2.0,4.0,5.0,5.0,10.0,8.0,13.0,11.0,11.0,13.818181818181818,1.393,stable,non-specific,1.393,0,0,1
14,12.0,ADA,RIP,6.0,13.0,4.0,0.0,0.0,1.0,4.0,4.0,5.0,8.0,11.0,9.0,6.222222222222222,1.463,developmentally dynamic (strengthened),non-specific,1.463,0,0,1
15,12.0,ADA,RIP,6.0,13.0,4.0,0.0,0.0,1.0,4.0,4.0,5.0,8.0,11.0,9.0,6.222222222222222,1.463,variable,non-specific,1.463,0,0,1
16,13.0,ADA,SDQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,post-embryonic brain integration,non-specific,0.0,0,1,0
17,14.0,ADA,AVE,17.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,6.0,4.833333333333333,1.302,variable,non-specific,1.302,0,1,0
18,15.0,ADA,IL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
19,16.0,ADA,RIA,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.5,-2.357,variable,male-specific,2.357,0,0,1
20,17.0,ADA,SIBV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
21,18.0,ADA,URA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.707,variable,non-specific,0.707,0,1,0
22,19.0,ADA,AIZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
23,20.0,ADA,DVA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,variable,non-specific,0.0,0,1,0
24,21.0,ADA,SAA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,-0.707,variable,non-specific,0.707,0,0,1
25,22.0,ADA,RID,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
26,23.0,ADA,SMD,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.8,1.302,variable,non-specific,1.302,0,1,0
27,24.0,ADA,ADA,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.465,0,non-specific,1.465,0,1,0
28,25.0,ADA,ADL,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,0.972,0,non-specific,0.972,0,1,0
29,26.0,ADA,RIF,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.25,0.0,variable,non-specific,0.0,0,0,1
30,27.0,ADA,RIV,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.353,0,non-specific,1.353,0,1,0
31,28.0,ADA,URX,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.5,1.302,variable,non-specific,1.302,0,1,0
32,29.0,ADA,URY,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,non-specific,0.0,0,0,1
33,30.0,ADA,ADE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,variable,non-specific,0.0,0,1,0
34,31.0,ADA,RMF,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.6666666666666665,-1.116,post-embryonic brain integration,non-specific,1.116,0,0,1
35,32.0,ADA,PVR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.465,0,non-specific,1.465,0,1,0
36,33.0,ADA,AIN,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.972,0,non-specific,0.972,1,0,0
37,34.0,ADA,AVL,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.972,0,non-specific,0.972,1,0,0
38,35.0,ADA,DVC,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-0.972,0,non-specific,0.972,1,0,0
39,36.0,ADA,RIB,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.302,0,non-specific,1.302,1,0,0
40,37.0,ADA,RIG,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,-2.919,0,male-specific,2.919,1,0,0
42,39.0,AIA,ADA,2.0,8.0,0.0,0.0,1.0,4.0,0.0,1.0,5.0,4.0,5.0,8.0,3.75,1.353,variable,non-specific,1.353,0,1,0
43,40.0,AIA,ADL,1.0,11.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,7.0,6.428571428571429,-0.123,developmentally dynamic (strengthened),non-specific,0.123,0,0,1
44,41.0,AIA,AIB,78.0,99.0,48.0,5.0,10.0,14.0,17.0,21.0,21.0,25.0,34.0,11.0,33.81818181818182,1.42,stable,non-specific,1.42,0,0,1
45,42.0,AIA,AIN,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,-1.353,variable,non-specific,1.353,0,0,1
46,43.0,AIA,AIZ,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,4.0,3.5,1.465,variable,non-specific,1.465,0,1,0
47,44.0,AIA,ASG,2.0,6.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,8.0,2.75,0.188,variable,non-specific,0.188,0,0,1
48,45.0,AIA,ASK,1.0,10.0,2.0,4.0,5.0,6.0,5.0,2.0,4.0,5.0,3.0,11.0,4.2727272727272725,1.335,stable,non-specific,1.335,0,0,1
49,46.0,AIA,AWC,27.0,19.0,23.0,1.0,1.0,7.0,6.0,13.0,8.0,13.0,21.0,11.0,12.636363636363637,-0.578,stable,non-specific,0.578,0,0,1
50,47.0,AIA,RIF,43.0,51.0,25.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,11.0,12.909090909090908,-0.622,stable,non-specific,0.622,0,0,1
51,47.0,AIA,RIF,43.0,51.0,25.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,11.0,12.909090909090908,-0.622,variable,non-specific,0.622,0,0,1
52,48.0,AIA,ADF,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.3333333333333333,0.972,variable,non-specific,0.972,0,1,0
53,49.0,AIA,AIY,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.333333333333333,-1.465,variable,non-specific,1.465,0,0,1
54,50.0,AIA,ASE,9.0,20.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,8.0,4.875,2.295,variable,hermaphrodite-specific,2.295,0,0,1
55,51.0,AIA,ASH,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,9.0,1.8888888888888888,0.0,variable,non-specific,0.0,0,0,1
56,52.0,AIA,ASI,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,2.4,0.972,variable,non-specific,0.972,0,1,0
57,53.0,AIA,AWA,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.302,variable,non-specific,1.302,0,1,0
58,54.0,AIA,PVQ,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.707,variable,non-specific,0.707,0,1,0
59,55.0,AIA,AWB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
60,56.0,AIA,AIA,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,-2.826,0,male-specific,2.826,0,0,1
61,57.0,AIA,AIM,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.5,1.221,0,non-specific,1.221,0,0,1
62,58.0,AIA,ASJ,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.302,0,non-specific,1.302,0,1,0
63,59.0,AIA,RIR,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.972,0,non-specific,0.972,0,1,0
64,60.0,AIA,RMG,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.972,0,non-specific,0.972,0,1,0
67,63.0,AIB,AVB,46.0,39.0,40.0,5.0,6.0,8.0,9.0,10.0,13.0,17.0,14.0,11.0,18.818181818181817,-0.699,stable,non-specific,0.699,0,0,1
68,64.0,AIB,BAG,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,1.2,0.0,variable,non-specific,0.0,0,1,0
69,65.0,AIB,DVA,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,1.4,0.0,variable,non-specific,0.0,0,0,1
70,66.0,AIB,RIB,39.0,27.0,4.0,5.0,7.0,6.0,10.0,11.0,9.0,15.0,22.0,11.0,14.090909090909092,2.359,variable,hermaphrodite-specific,2.359,0,0,1
71,66.0,AIB,RIB,39.0,27.0,4.0,5.0,7.0,6.0,10.0,11.0,9.0,15.0,22.0,11.0,14.090909090909092,2.359,stable,hermaphrodite-specific,2.359,0,0,1
72,67.0,AIB,RIM,111.0,114.0,108.0,12.0,17.0,19.0,19.0,27.0,31.0,53.0,43.0,11.0,50.36363636363637,1.624,stable,non-specific,1.624,0,0,1
73,68.0,AIB,RMF,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,3.6666666666666665,0.0,post-embryonic brain integration,non-specific,0.0,0,0,1
74,69.0,AIB,SAA,6.0,22.0,7.0,1.0,0.0,2.0,2.0,2.0,2.0,10.0,9.0,10.0,6.3,0.0,stable,non-specific,0.0,0,0,1
75,69.0,AIB,SAA,6.0,22.0,7.0,1.0,0.0,2.0,2.0,2.0,2.0,10.0,9.0,10.0,6.3,0.0,developmentally dynamic (strengthened),non-specific,0.0,0,0,1
76,70.0,AIB,SIA,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,1.353,variable,non-specific,1.353,0,1,0
77,71.0,AIB,SMD,42.0,44.0,18.0,6.0,10.0,10.0,11.0,13.0,17.0,24.0,24.0,11.0,19.90909090909091,2.354,stable,hermaphrodite-specific,2.354,0,0,1
78,72.0,AIB,AIZ,4.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,4.2,-0.153,variable,non-specific,0.153,0,0,1
79,73.0,AIB,AVA,4.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,7.0,6.0,5.166666666666667,1.733,developmentally dynamic (strengthened),non-specific,1.733,0,1,0
80,73.0,AIB,AVA,4.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,7.0,6.0,5.166666666666667,1.733,variable,non-specific,1.733,0,1,0
81,74.0,AIB,AVE,20.0,5.0,9.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0,3.0,9.0,5.333333333333333,-0.611,variable,non-specific,0.611,0,0,1
82,75.0,AIB,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
83,76.0,AIB,RIV,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.25,-1.465,variable,non-specific,1.465,0,0,1
84,77.0,AIB,RME,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
85,78.0,AIB,RIG,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,2.8,1.465,variable,non-specific,1.465,0,1,0
86,79.0,AIB,PVP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
87,80.0,AIB,ADL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.707,variable,non-specific,0.707,0,1,0
88,81.0,AIB,AIA,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,-0.976,variable,non-specific,0.976,0,0,1
89,82.0,AIB,AIB,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,variable,non-specific,0.0,0,0,1
90,83.0,AIB,AIY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.707,variable,non-specific,0.707,0,1,0
91,84.0,AIB,AQR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.707,post-embryonic brain integration,non-specific,0.707,0,1,0
92,85.0,AIB,ASH,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.302,0,non-specific,1.302,0,1,0
93,86.0,AIB,AUA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.707,variable,non-specific,0.707,0,1,0
94,86.0,AIB,AUA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.707,developmentally dynamic (strengthened),non-specific,0.707,0,1,0
95,87.0,AIB,AWC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.707,0,non-specific,0.707,0,1,0
96,88.0,AIB,FLP,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,-1.083,0,non-specific,1.083,0,0,1
97,89.0,AIB,RIA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.6666666666666667,0.972,variable,non-specific,0.972,0,1,0
98,90.0,AIB,RIC,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,0.707,0,non-specific,0.707,0,1,0
99,91.0,AIB,RIF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.707,0,non-specific,0.707,0,1,0
100,92.0,AIB,SIBD,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0,non-specific,0.0,0,1,0
101,93.0,AIB,SIBV,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.5,0.0,variable,non-specific,0.0,0,0,1
103,95.0,AIB,ADA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,variable,non-specific,0.0,0,1,0
104,96.0,AIB,DVC,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.5,0.0,variable,non-specific,0.0,0,1,0
105,97.0,AIB,AVK,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,-1.61,variable,non-specific,1.61,0,0,1
106,98.0,AIB,ALN,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0,non-specific,0.0,0,1,0
107,99.0,AIB,AVD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,non-specific,0.0,0,1,0
108,100.0,AIB,AIM,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.302,0,non-specific,1.302,1,0,0
109,101.0,AIB,ASG,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-1.302,0,non-specific,1.302,1,0,0
111,103.0,ASH,ADA,8.0,8.0,0.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,5.0,10.0,4.8,1.733,stable,non-specific,1.733,0,1,0
112,104.0,ASH,ADF,29.0,11.0,11.0,0.0,1.0,2.0,0.0,6.0,4.0,4.0,1.0,9.0,7.666666666666667,-0.383,variable,non-specific,0.383,0,0,1
113,105.0,ASH,AIA,46.0,61.0,66.0,4.0,7.0,7.0,10.0,16.0,20.0,28.0,25.0,11.0,26.363636363636363,-1.545,stable,non-specific,1.545,0,0,1
114,105.0,ASH,AIA,46.0,61.0,66.0,4.0,7.0,7.0,10.0,16.0,20.0,28.0,25.0,11.0,26.363636363636363,-1.545,variable,non-specific,1.545,0,0,1
115,106.0,ASH,AIB,24.0,25.0,21.0,3.0,7.0,6.0,3.0,11.0,15.0,14.0,14.0,11.0,13.0,-0.224,stable,non-specific,0.224,0,0,1
116,107.0,ASH,AVA,20.0,26.0,0.0,0.0,1.0,4.0,17.0,5.0,12.0,14.0,35.0,9.0,14.88888888888889,2.939,stable,hermaphrodite-specific,2.939,0,1,0
117,107.0,ASH,AVA,20.0,26.0,0.0,0.0,1.0,4.0,17.0,5.0,12.0,14.0,35.0,9.0,14.88888888888889,2.939,variable,hermaphrodite-specific,2.939,0,1,0
118,108.0,ASH,AVB,29.0,20.0,5.0,3.0,2.0,4.0,10.0,13.0,13.0,23.0,22.0,11.0,13.090909090909092,2.065,stable,hermaphrodite-specific,2.065,0,0,1
119,109.0,ASH,AVD,17.0,56.0,14.0,2.0,2.0,6.0,8.0,13.0,15.0,22.0,21.0,11.0,16.0,1.43,stable,non-specific,1.43,0,0,1
120,110.0,ASH,AVE,5.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,6.0,3.333333333333333,1.733,developmentally dynamic (strengthened),non-specific,1.733,0,1,0
121,111.0,ASH,AVJ,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,5.0,2.0,7.0,2.142857142857143,0.0,variable,non-specific,0.0,0,1,0
122,112.0,ASH,AWB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,6.0,2.0,0.707,developmentally dynamic (strengthened),non-specific,0.707,0,1,0
123,113.0,ASH,RIA,31.0,17.0,7.0,0.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,10.0,7.8,0.524,stable,non-specific,0.524,0,0,1
124,114.0,ASH,RIM,18.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,6.0,5.5,1.302,variable,non-specific,1.302,0,1,0
125,115.0,ASH,RMG,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,1.465,variable,non-specific,1.465,0,1,0
126,116.0,ASH,ADL,7.0,19.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,7.0,6.0,6.833333333333333,2.32,developmentally dynamic (strengthened),hermaphrodite-specific,2.32,0,0,1
127,117.0,ASH,ASK,5.0,1.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,8.0,2.125,-0.744,variable,non-specific,0.744,0,0,1
128,118.0,ASH,AVH,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,3.0,6.0,2.333333333333333,1.116,variable,non-specific,1.116,0,1,0
129,119.0,ASH,AWA,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,7.0,1.7142857142857142,0.707,variable,non-specific,0.707,0,1,0
130,120.0,ASH,RIF,12.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,2.833333333333333,-0.707,variable,non-specific,0.707,0,0,1
131,121.0,ASH,SMB,0.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,2.25,0.615,variable,non-specific,0.615,0,0,1
132,122.0,ASH,URX,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,1.5,0.972,variable,non-specific,0.972,0,1,0
133,123.0,ASH,PVC,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.5,1.116,variable,non-specific,1.116,0,1,0
134,124.0,ASH,PVQ,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.25,-1.353,variable,non-specific,1.353,0,0,1
135,125.0,ASH,ALM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
136,126.0,ASH,ASE,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,variable,non-specific,0.0,0,1,0
137,127.0,ASH,SIBV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
138,128.0,ASH,AIZ,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.6666666666666667,1.116,variable,non-specific,1.116,0,1,0
139,129.0,ASH,ASH,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.6666666666666667,0.972,variable,non-specific,0.972,0,1,0
140,130.0,ASH,AVF,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,-0.753,post-embryonic brain integration,non-specific,0.753,0,0,1
142,132.0,ASH,PVP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.707,0,non-specific,0.707,0,1,0
143,133.0,ASH,RIP,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.302,0,non-specific,1.302,0,1,0
144,134.0,ASH,RIR,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.302,0,non-specific,1.302,0,1,0
145,135.0,ASH,AIY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.5,0.0,variable,non-specific,0.0,0,1,0
146,136.0,ASH,PVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,post-embryonic brain integration,non-specific,0.0,0,1,0
147,137.0,ASH,AIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,variable,non-specific,0.0,0,1,0
148,138.0,ASH,AVM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,non-specific,0.0,0,1,0
149,139.0,ASH,SIBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,non-specific,0.0,0,1,0
151,141.0,AVA,AVB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.61,0,non-specific,1.61,0,1,0
152,142.0,AVA,AVD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.248,0,non-specific,0.248,0,1,0
153,143.0,AVA,RIA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.116,0,non-specific,1.116,0,1,0
154,144.0,AVA,SAA,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.465,0,non-specific,1.465,0,1,0
155,145.0,AVA,SMD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.707,0,non-specific,0.707,0,1,0
156,146.0,AVA,ADE,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0,non-specific,0.0,0,1,0
157,147.0,AVA,RIG,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,-0.486,0,non-specific,0.486,0,0,1
